# pump_rate_ft3_per_day annual_volume_m3_per_year annual_volume_million_m3_per_year cost_p10_usd_per_year cost_p20_usd_per_year cost_p30_usd_per_year cost_p40_usd_per_year cost_p50_usd_per_year cost_p60_usd_per_year cost_p70_usd_per_year cost_p80_usd_per_year cost_p90_usd_per_year cost_p10_kusd_per_year cost_p20_kusd_per_year cost_p30_kusd_per_year cost_p40_kusd_per_year cost_p50_kusd_per_year cost_p60_kusd_per_year cost_p70_kusd_per_year cost_p80_kusd_per_year cost_p90_kusd_per_year energy_p10_kwh_per_year energy_p20_kwh_per_year energy_p30_kwh_per_year energy_p40_kwh_per_year energy_p50_kwh_per_year energy_p60_kwh_per_year energy_p70_kwh_per_year energy_p80_kwh_per_year energy_p90_kwh_per_year
6.644908916293790389e+04 6.867944623618404148e+05 6.867944623618403854e-01 2.135317649550274291e+04 2.164187862258588575e+04 2.189311036504447475e+04 2.208832256914184109e+04 2.222024611872993410e+04 2.241031862976441698e+04 2.262223319661421920e+04 2.282088174982949567e+04 2.311454688536009417e+04 2.135317649550274410e+01 2.164187862258588524e+01 2.189311036504447472e+01 2.208832256914184100e+01 2.222024611872993560e+01 2.241031862976441857e+01 2.262223319661421783e+01 2.282088174982949624e+01 2.311454688536009527e+01 2.135317649550274364e+05 2.164187862258588430e+05 2.189311036504447402e+05 2.208832256914184254e+05 2.222024611872993410e+05 2.241031862976441626e+05 2.262223319661421992e+05 2.282088174982949567e+05 2.311454688536009053e+05
6.867892436974789598e+04 7.098412564008283662e+05 7.098412564008284020e-01 2.328404585351779315e+04 2.360345159248822165e+04 2.388703362034161182e+04 2.407592266036757064e+04 2.427751712789890007e+04 2.442740309402452476e+04 2.462230596351809072e+04 2.486268078320859786e+04 2.515961412418637337e+04 2.328404585351779232e+01 2.360345159248822000e+01 2.388703362034161159e+01 2.407592266036757067e+01 2.427751712789889993e+01 2.442740309402452326e+01 2.462230596351809098e+01 2.486268078320859942e+01 2.515961412418637266e+01 2.328404585351778951e+05 2.360345159248822310e+05 2.388703362034161109e+05 2.407592266036757210e+05 2.427751712789890007e+05 2.442740309402452258e+05 2.462230596351808636e+05 2.486268078320859640e+05 2.515961412418636901e+05
7.090875957655790262e+04 7.328880504398163175e+05 7.328880504398163076e-01 2.513593114903931200e+04 2.553139499232626258e+04 2.579309018323633427e+04 2.601038683239994862e+04 2.618104345005856885e+04 2.637023525183481252e+04 2.663131247165836248e+04 2.702653586822661237e+04 2.737665599815366295e+04 2.513593114903931180e+01 2.553139499232626264e+01 2.579309018323633396e+01 2.601038683239994853e+01 2.618104345005856715e+01 2.637023525183481354e+01 2.663131247165836157e+01 2.702653586822661325e+01 2.737665599815366235e+01 2.513593114903930982e+05 2.553139499232626404e+05 2.579309018323633354e+05 2.601038683239994862e+05 2.618104345005857176e+05 2.637023525183480815e+05 2.663131247165836394e+05 2.702653586822660873e+05 2.737665599815366440e+05
7.313859478336789471e+04 7.559348444788042689e+05 7.559348444788043242e-01 2.725679168638883857e+04 2.777015930958461468e+04 2.804669551735040659e+04 2.829115842878128387e+04 2.855674061383555090e+04 2.877562436534873996e+04 2.899555204320639314e+04 2.925612599038498593e+04 2.967249829296684038e+04 2.725679168638883709e+01 2.777015930958461354e+01 2.804669551735040756e+01 2.829115842878128362e+01 2.855674061383555085e+01 2.877562436534874024e+01 2.899555204320639490e+01 2.925612599038498729e+01 2.967249829296683927e+01 2.725679168638883857e+05 2.777015930958461249e+05 2.804669551735040732e+05 2.829115842878128169e+05 2.855674061383554945e+05 2.877562436534873559e+05 2.899555204320639023e+05 2.925612599038498593e+05 2.967249829296683893e+05
7.536842999017788679e+04 7.789816385177922202e+05 7.789816385177922298e-01 2.983658520943955955e+04 3.022037466477203634e+04 3.045865722574723623e+04 3.075641311845161908e+04 3.097758742264287139e+04 3.131901298708855393e+04 3.160323158508217603e+04 3.193660320470716761e+04 3.239200666569839450e+04 2.983658520943955850e+01 3.022037466477203793e+01 3.045865722574723478e+01 3.075641311845161852e+01 3.097758742264286980e+01 3.131901298708855563e+01 3.160323158508217745e+01 3.193660320470716840e+01 3.239200666569839626e+01 2.983658520943955518e+05 3.022037466477203416e+05 3.045865722574723186e+05 3.075641311845161836e+05 3.097758742264286848e+05 3.131901298708855174e+05 3.160323158508217894e+05 3.193660320470716688e+05 3.239200666569839232e+05
7.759826519698787888e+04 8.020284325567801716e+05 8.020284325567801353e-01 3.215283668095243047e+04 3.269982634651188346e+04 3.319099410630812054e+04 3.351173619156095083e+04 3.370361593518358859e+04 3.401238514649699937e+04 3.429032876246172236e+04 3.459206797470275342e+04 3.512265573642084928e+04 3.215283668095243286e+01 3.269982634651188391e+01 3.319099410630811775e+01 3.351173619156094929e+01 3.370361593518359200e+01 3.401238514649699596e+01 3.429032876246171924e+01 3.459206797470275063e+01 3.512265573642084604e+01 3.215283668095243047e+05 3.269982634651188273e+05 3.319099410630812054e+05 3.351173619156095083e+05 3.370361593518358422e+05 3.401238514649699791e+05 3.429032876246171654e+05 3.459206797470275196e+05 3.512265573642084491e+05
7.982810040379787097e+04 8.250752265957678901e+05 8.250752265957679299e-01 3.451352944417372055e+04 3.525691221341241908e+04 3.575828977705087163e+04 3.607234265653258626e+04 3.644649440550811414e+04 3.674151048382244335e+04 3.704855520201074978e+04 3.752416109587699611e+04 3.808623871650325600e+04 3.451352944417372015e+01 3.525691221341241999e+01 3.575828977705086942e+01 3.607234265653258376e+01 3.644649440550811192e+01 3.674151048382244511e+01 3.704855520201074626e+01 3.752416109587699822e+01 3.808623871650325299e+01 3.451352944417371764e+05 3.525691221341242199e+05 3.575828977705086581e+05 3.607234265653258772e+05 3.644649440550811123e+05 3.674151048382244771e+05 3.704855520201074542e+05 3.752416109587699175e+05 3.808623871650325018e+05
8.205793561060787761e+04 8.481220206347560743e+05 8.481220206347560575e-01 3.723575231911634182e+04 3.822801153897189943e+04 3.872621641314036970e+04 3.912770934062742162e+04 3.960011097467500076e+04 3.992635302610658255e+04 4.030909977290654933e+04 4.079952553525585245e+04 4.137433148368827824e+04 3.723575231911634376e+01 3.822801153897189863e+01 3.872621641314037078e+01 3.912770934062741901e+01 3.960011097467499752e+01 3.992635302610658243e+01 4.030909977290654922e+01 4.079952553525585301e+01 4.137433148368828029e+01 3.723575231911633746e+05 3.822801153897189652e+05 3.872621641314037261e+05 3.912770934062742162e+05 3.960011097467499785e+05 3.992635302610658109e+05 4.030909977290654788e+05 4.079952553525585099e+05 4.137433148368826951e+05
8.428777081741786969e+04 8.711688146737437928e+05 8.711688146737437410e-01 4.059092910258485790e+04 4.150364649312756956e+04 4.198295365176810446e+04 4.245560115380318166e+04 4.277176001042874123e+04 4.316381469916342030e+04 4.361419628623547032e+04 4.426044101874780608e+04 4.490773652479129669e+04 4.059092910258485887e+01 4.150364649312756882e+01 4.198295365176810634e+01 4.245560115380317967e+01 4.277176001042874276e+01 4.316381469916341729e+01 4.361419628623546885e+01 4.426044101874780523e+01 4.490773652479129652e+01 4.059092910258485354e+05 4.150364649312756956e+05 4.198295365176809719e+05 4.245560115380318020e+05 4.277176001042873831e+05 4.316381469916341593e+05 4.361419628623546450e+05 4.426044101874780608e+05 4.490773652479129378e+05
8.651760602422787633e+04 8.942156087127319770e+05 8.942156087127319797e-01 4.358650349822192948e+04 4.438353747898444999e+04 4.510152027539857227e+04 4.554966444419350591e+04 4.593929786189876904e+04 4.643930638946253748e+04 4.714852329542868392e+04 4.797958404761923157e+04 4.890029067390497949e+04 4.358650349822192993e+01 4.438353747898445079e+01 4.510152027539857045e+01 4.554966444419350324e+01 4.593929786189876552e+01 4.643930638946253708e+01 4.714852329542868148e+01 4.797958404761923390e+01 4.890029067390497630e+01 4.358650349822192220e+05 4.438353747898444999e+05 4.510152027539857081e+05 4.554966444419350009e+05 4.593929786189876031e+05 4.643930638946253457e+05 4.714852329542867956e+05 4.797958404761922429e+05 4.890029067390498240e+05
